road_seg_id,data_time,volume,speed
13G6S0C4IE013G6P0C4KS00300772,2024-03-01 00:00:00,12,40.875
13G730C5JR013G9G0C5LM00100683,2024-03-01 00:00:00,25,49.0
13GQN0C644013GOB0C64300102661,2024-03-01 00:00:00,23,63.333
13H000C647013H1N0C64600300543,2024-03-01 00:00:00,2,8.125
13H1Q0C5R8013H1R0C5Q900101614,2024-03-01 00:00:00,4,50.0
13HA60C5JF013HA50C5HO00101324,2024-03-01 00:00:00,25,46.667
13HV00C681013HSM0C6C700105472,2024-03-01 00:00:05,15,82.7
13EQB0C3DT013EPP0C3C600104214,2024-03-01 00:00:08,0,0.0
13L9M0C3PV013L9E0C3PT00104111,2024-03-01 00:00:19,1,52.7
13FIJ0C554013FIO0C53C00104444,2024-03-01 00:00:47,31,72.12
13G6S0C4IE013G6P0C4KS00300772,2024-03-01 00:01:00,12,39.0
13G730C5JR013G9G0C5LM00100683,2024-03-01 00:01:00,26,50.333
13G730C5JR013G9G0C5LM00100683,2024-03-01 00:01:00,19,45.667
13GQN0C644013GOB0C64300102661,2024-03-01 00:01:00,30,60.333
13H000C647013H1N0C64600300543,2024-03-01 00:01:00,4,8.5
13H1Q0C5R8013H1R0C5Q900101614,2024-03-01 00:01:00,4,41.333
13H1Q0C5R8013H1R0C5Q900101614,2024-03-01 00:01:00,7,64.333
13HA60C5JF013HA50C5HO00101324,2024-03-01 00:01:00,12,55.333
13HA60C5JF013HA50C5HO00101324,2024-03-01 00:01:00,30,52.0
13HV00C681013HSM0C6C700105472,2024-03-01 00:01:05,30,83.533
13EQB0C3DT013EPP0C3C600104214,2024-03-01 00:01:08,0,0.0
13L9M0C3PV013L9E0C3PT00104111,2024-03-01 00:01:19,0,0.0
13FIJ0C554013FIO0C53C00104444,2024-03-01 00:01:47,26,73.6
13G6S0C4IE013G6P0C4KS00300772,2024-03-01 00:02:00,15,38.75
13G730C5JR013G9G0C5LM00100683,2024-03-01 00:02:00,19,48.667
13GQN0C644013GOB0C64300102661,2024-03-01 00:02:00,35,58.0
13H000C647013H1N0C64600300543,2024-03-01 00:02:00,6,8.125
13H1Q0C5R8013H1R0C5Q900101614,2024-03-01 00:02:00,5,44.667
13HA60C5JF013HA50C5HO00101324,2024-03-01 00:02:00,19,52.667
13HV00C681013HSM0C6C700105472,2024-03-01 00:02:05,21,81.227
13EQB0C3DT013EPP0C3C600104214,2024-03-01 00:02:08,1,18.29
13L9M0C3PV013L9E0C3PT00104111,2024-03-01 00:02:19,0,0.0
13FIJ0C554013FIO0C53C00104444,2024-03-01 00:02:47,28,74.148
13G6S0C4IE013G6P0C4KS00300772,2024-03-01 00:03:00,12,38.0
13G730C5JR013G9G0C5LM00100683,2024-03-01 00:03:00,29,49.333
13GQN0C644013GOB0C64300102661,2024-03-01 00:03:00,23,63.333
13H1Q0C5R8013H1R0C5Q900101614,2024-03-01 00:03:00,6,71.0
13HA60C5JF013HA50C5HO00101324,2024-03-01 00:03:00,13,60.333
13HV00C681013HSM0C6C700105472,2024-03-01 00:03:05,19,82.163
13EQB0C3DT013EPP0C3C600104214,2024-03-01 00:03:08,3,19.0
13L9M0C3PV013L9E0C3PT00104111,2024-03-01 00:03:19,0,0.0
13FIJ0C554013FIO0C53C00104444,2024-03-01 00:03:47,28,74.272
13G6S0C4IE013G6P0C4KS00300772,2024-03-01 00:04:00,18,35.688
13G730C5JR013G9G0C5LM00100683,2024-03-01 00:04:00,34,48.667
13GQN0C644013GOB0C64300102661,2024-03-01 00:04:00,35,58.333
13H000C647013H1N0C64600300543,2024-03-01 00:04:00,8,7.812
13H1Q0C5R8013H1R0C5Q900101614,2024-03-01 00:04:00,3,62.0
13HA60C5JF013HA50C5HO00101324,2024-03-01 00:04:00,26,55.667
13HV00C681013HSM0C6C700105472,2024-03-01 00:04:05,19,85.067
13EQB0C3DT013EPP0C3C600104214,2024-03-01 00:04:08,0,0.0
13L9M0C3PV013L9E0C3PT00104111,2024-03-01 00:04:19,0,0.0
13FIJ0C554013FIO0C53C00104444,2024-03-01 00:04:47,31,74.97
13G730C5JR013G9G0C5LM00100683,2024-03-01 00:05:00,18,53.333
13GQN0C644013GOB0C64300102661,2024-03-01 00:05:00,42,55.333
13H000C647013H1N0C64600300543,2024-03-01 00:05:00,5,7.625
13H1Q0C5R8013H1R0C5Q900101614,2024-03-01 00:05:00,6,66.667
13HA60C5JF013HA50C5HO00101324,2024-03-01 00:05:00,20,58.333
13HV00C681013HSM0C6C700105472,2024-03-01 00:05:05,36,86.567
13EQB0C3DT013EPP0C3C600104214,2024-03-01 00:05:08,4,14.5
13L9M0C3PV013L9E0C3PT00104111,2024-03-01 00:05:19,0,0.0
13FIJ0C554013FIO0C53C00104444,2024-03-01 00:05:47,24,78.04
13G6S0C4IE013G6P0C4KS00300772,2024-03-01 00:06:00,7,36.25
13G730C5JR013G9G0C5LM00100683,2024-03-01 00:06:00,61,49.167
