road_seg_id,window_start,window_end,total_volume,avg_speed,record_count
13EQB0C3DT013EPP0C3C600104214,2024-03-01 00:00:00,2024-03-01 00:15:00,25,7.4,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 00:15:00,2024-03-01 00:30:00,24,7.46,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 00:30:00,2024-03-01 00:45:00,27,6.76,14
13EQB0C3DT013EPP0C3C600104214,2024-03-01 00:45:00,2024-03-01 01:00:00,6,3.5,9
13EQB0C3DT013EPP0C3C600104214,2024-03-01 01:00:00,2024-03-01 01:15:00,23,7.6,13
13EQB0C3DT013EPP0C3C600104214,2024-03-01 01:15:00,2024-03-01 01:30:00,28,7.34,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 01:30:00,2024-03-01 01:45:00,20,4.33,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 01:45:00,2024-03-01 02:00:00,10,3.75,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 02:00:00,2024-03-01 02:15:00,12,3.31,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 02:15:00,2024-03-01 02:30:00,29,7.24,14
13EQB0C3DT013EPP0C3C600104214,2024-03-01 02:30:00,2024-03-01 02:45:00,11,2.91,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 02:45:00,2024-03-01 03:00:00,19,5.86,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 03:00:00,2024-03-01 03:15:00,30,4.2,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 03:15:00,2024-03-01 03:30:00,20,3.94,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 03:30:00,2024-03-01 03:45:00,18,4.92,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 03:45:00,2024-03-01 04:00:00,50,7.3,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 04:00:00,2024-03-01 04:15:00,31,8.25,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 04:15:00,2024-03-01 04:30:00,33,6.02,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 04:30:00,2024-03-01 04:45:00,35,6.73,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 04:45:00,2024-03-01 05:00:00,33,9.11,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 05:00:00,2024-03-01 05:15:00,41,8.95,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 05:15:00,2024-03-01 05:30:00,33,11.48,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 05:30:00,2024-03-01 05:45:00,87,8.12,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 05:45:00,2024-03-01 06:00:00,90,11.33,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 06:00:00,2024-03-01 06:15:00,99,10.7,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 06:15:00,2024-03-01 06:30:00,97,10.54,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 06:30:00,2024-03-01 06:45:00,105,8.19,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 06:45:00,2024-03-01 07:00:00,96,7.67,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 07:00:00,2024-03-01 07:15:00,106,6.15,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 07:15:00,2024-03-01 07:30:00,117,6.3,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 07:30:00,2024-03-01 07:45:00,120,7.95,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 07:45:00,2024-03-01 08:00:00,133,7.72,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 08:00:00,2024-03-01 08:15:00,88,6.03,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 08:15:00,2024-03-01 08:30:00,99,6.68,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 08:30:00,2024-03-01 08:45:00,99,6.06,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 08:45:00,2024-03-01 09:00:00,77,5.96,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 09:00:00,2024-03-01 09:15:00,100,8.09,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 09:15:00,2024-03-01 09:30:00,98,8.37,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 09:30:00,2024-03-01 09:45:00,127,8.15,14
13EQB0C3DT013EPP0C3C600104214,2024-03-01 09:45:00,2024-03-01 10:00:00,122,7.2,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 10:00:00,2024-03-01 10:15:00,121,8.21,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 10:15:00,2024-03-01 10:30:00,101,7.01,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 10:30:00,2024-03-01 10:45:00,81,8.15,12
13EQB0C3DT013EPP0C3C600104214,2024-03-01 10:45:00,2024-03-01 11:00:00,84,7.65,11
13EQB0C3DT013EPP0C3C600104214,2024-03-01 11:00:00,2024-03-01 11:15:00,80,7.84,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 11:15:00,2024-03-01 11:30:00,93,6.84,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 11:30:00,2024-03-01 11:45:00,72,6.48,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 11:45:00,2024-03-01 12:00:00,56,9.15,12
13EQB0C3DT013EPP0C3C600104214,2024-03-01 12:00:00,2024-03-01 12:15:00,77,9.94,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 12:15:00,2024-03-01 12:30:00,109,7.92,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 12:30:00,2024-03-01 12:45:00,81,6.42,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 12:45:00,2024-03-01 13:00:00,103,8.24,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 13:00:00,2024-03-01 13:15:00,117,9.05,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 13:15:00,2024-03-01 13:30:00,76,9.99,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 13:30:00,2024-03-01 13:45:00,80,8.72,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 13:45:00,2024-03-01 14:00:00,68,9.19,14
13EQB0C3DT013EPP0C3C600104214,2024-03-01 14:00:00,2024-03-01 14:15:00,88,8.39,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 14:15:00,2024-03-01 14:30:00,80,9.14,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 14:30:00,2024-03-01 14:45:00,68,6.09,13
13EQB0C3DT013EPP0C3C600104214,2024-03-01 14:45:00,2024-03-01 15:00:00,87,7.88,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 15:00:00,2024-03-01 15:15:00,110,7.14,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 15:15:00,2024-03-01 15:30:00,103,8.59,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 15:30:00,2024-03-01 15:45:00,100,6.92,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 15:45:00,2024-03-01 16:00:00,87,8.18,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 16:00:00,2024-03-01 16:15:00,97,6.41,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 16:15:00,2024-03-01 16:30:00,99,7.7,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 16:30:00,2024-03-01 16:45:00,86,8.79,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 16:45:00,2024-03-01 17:00:00,84,6.98,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 17:00:00,2024-03-01 17:15:00,83,7.36,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 17:15:00,2024-03-01 17:30:00,64,9.16,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 17:30:00,2024-03-01 17:45:00,62,12.75,15
13EQB0C3DT013EPP0C3C600104214,2024-03-01 17:45:00,2024-03-01 18:00:00,70,7.56,15
