,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
S1,1.0,0.7008593897082671,0.7000600882320765,0.7048932837543449,0.6095924611290122,0.6351081948345357,0.685403995802184,0.44991320572090515,0.767935728934936,0.7563089383463671
S2,0.7008593897082671,1.0,0.8229431501541467,0.8156935839309332,0.8814221668408228,0.8458235000739655,0.9264693271478803,0.7572243575066937,0.9017912454971686,0.8320502222118313
S3,0.7000600882320765,0.8229431501541467,1.0,0.8339758918035121,0.7960628808040594,0.8269692312596147,0.7659945899150257,0.7109696575440031,0.8045720444206333,0.7052654588375596
S4,0.7048932837543449,0.8156935839309332,0.8339758918035121,1.0,0.852483729506821,0.8537578726833565,0.7828507759657478,0.7325647992645927,0.845177716741276,0.705952529913811
S5,0.6095924611290122,0.8814221668408228,0.7960628808040594,0.852483729506821,1.0,0.837050032659284,0.8733756313767448,0.8370026304240935,0.8153134999780447,0.6807571248337903
S6,0.6351081948345357,0.8458235000739655,0.8269692312596147,0.8537578726833565,0.837050032659284,1.0,0.8183274852795541,0.7013159474935111,0.836559861704241,0.7008535762040969
S7,0.685403995802184,0.9264693271478803,0.7659945899150257,0.7828507759657478,0.8733756313767448,0.8183274852795541,1.0,0.7335176086249148,0.8668166521597299,0.7812224295208459
S8,0.44991320572090515,0.7572243575066937,0.7109696575440031,0.7325647992645927,0.8370026304240935,0.7013159474935111,0.7335176086249148,1.0,0.6382598563301671,0.4935982958442243
S9,0.767935728934936,0.9017912454971686,0.8045720444206333,0.845177716741276,0.8153134999780447,0.836559861704241,0.8668166521597299,0.6382598563301671,1.0,0.861659774182339
S10,0.7563089383463671,0.8320502222118313,0.7052654588375596,0.705952529913811,0.6807571248337903,0.7008535762040969,0.7812224295208459,0.4935982958442243,0.861659774182339,1.0
