Rank,Pair,Road_1,Road_2,Correlation,Strength
1,S2-S7,00104444,00101614,0.9265,Very Strong
2,S2-S9,00104444,00105472,0.9018,Very Strong
3,S2-S5,00104444,00102661,0.8814,Very Strong
4,S5-S7,00102661,00101614,0.8734,Very Strong
5,S7-S9,00101614,00105472,0.8668,Very Strong
6,S9-S10,00105472,00104111,0.8617,Very Strong
7,S4-S6,00100683,00300543,0.8538,Very Strong
8,S4-S5,00100683,00102661,0.8525,Very Strong
9,S2-S6,00104444,00300543,0.8458,Very Strong
10,S4-S9,00100683,00105472,0.8452,Very Strong
11,S5-S6,00102661,00300543,0.8371,Very Strong
12,S5-S8,00102661,00101324,0.837,Very Strong
13,S6-S9,00300543,00105472,0.8366,Very Strong
14,S3-S4,00300772,00100683,0.834,Very Strong
15,S2-S10,00104444,00104111,0.8321,Very Strong
16,S3-S6,00300772,00300543,0.827,Very Strong
17,S2-S3,00104444,00300772,0.8229,Very Strong
18,S6-S7,00300543,00101614,0.8183,Very Strong
19,S2-S4,00104444,00100683,0.8157,Very Strong
20,S5-S9,00102661,00105472,0.8153,Very Strong
21,S3-S9,00300772,00105472,0.8046,Very Strong
22,S3-S5,00300772,00102661,0.7961,Strong
23,S4-S7,00100683,00101614,0.7829,Strong
24,S7-S10,00101614,00104111,0.7812,Strong
25,S1-S9,00104214,00105472,0.7679,Strong
26,S3-S7,00300772,00101614,0.766,Strong
27,S2-S8,00104444,00101324,0.7572,Strong
28,S1-S10,00104214,00104111,0.7563,Strong
29,S7-S8,00101614,00101324,0.7335,Strong
30,S4-S8,00100683,00101324,0.7326,Strong
31,S3-S8,00300772,00101324,0.711,Strong
32,S4-S10,00100683,00104111,0.706,Strong
33,S3-S10,00300772,00104111,0.7053,Strong
34,S1-S4,00104214,00100683,0.7049,Strong
35,S6-S8,00300543,00101324,0.7013,Strong
36,S6-S10,00300543,00104111,0.7009,Strong
37,S1-S2,00104214,00104444,0.7009,Strong
38,S1-S3,00104214,00300772,0.7001,Strong
39,S1-S7,00104214,00101614,0.6854,Strong
40,S5-S10,00102661,00104111,0.6808,Strong
41,S8-S9,00101324,00105472,0.6383,Strong
42,S1-S6,00104214,00300543,0.6351,Strong
43,S1-S5,00104214,00102661,0.6096,Strong
44,S8-S10,00101324,00104111,0.4936,Moderate
45,S1-S8,00104214,00101324,0.4499,Moderate
